Rank,Title,Director,Year,Production Companies,Change from 1998,Alternate Title
88,Bringing Up Baby,Howard Hawks,1938,RKO Radio Pictures,9,Bringing Up Baby (1938)
89,The Sixth Sense,M. Night Shyamalan,1999,"Hollywood Pictures, Spyglass Entertainment, The Kennedy/Marshall Company",NEW,The Sixth Sense (1999)
90,Swing Time,George Stevens,1936,RKO Radio Pictures,NEW,Swing Time (1936)
91,Sophie's Choice,Alan J. Pakula,1982,"ITC Entertainment, Marble Arch Productions",NEW,Sophie's Choice (1982)
92,Goodfellas,Martin Scorsese,1990,"Warner Bros., Irwin Winkler Productions",2,Goodfellas (1990)
93,The French Connection,William Friedkin,1971,D'Antoni Productions,23,The French Connection (1971)
94,Pulp Fiction,Quentin Tarantino,1994,"A Band Apart, Jersey Films",1,Pulp Fiction (1994)
95,The Last Picture Show,Peter Bogdanovich,1971,BBS Productions,NEW,The Last Picture Show (1971)
96,Do the Right Thing,Spike Lee,1989,40 Acres & A Mule Filmworks,NEW,Do the Right Thing (1989)
97,Blade Runner,Ridley Scott,1982,"The Ladd Company, Sir Run Run Shaw",NEW,Blade Runner (1982)
98,Yankee Doodle Dandy,Michael Curtiz,1942,Warner Bros.,2,Yankee Doodle Dandy (1942)
99,Toy Story,John Lasseter,1995,"Pixar, Walt Disney Pictures",NEW,Toy Story (1995)
100,Ben-Hur,William Wyler,1959,Metro-Goldwyn-Mayer,28,Ben-Hur (1959)
